,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,C03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,D03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,E03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,F03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,C03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,D03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,E03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,F03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,C03,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C04,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C05,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C07,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C08,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,C09,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,45.2,
,D03,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D04,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D05,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D07,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D08,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,D09,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,43.8,
,E03,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E04,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E05,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E07,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E08,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,E09,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,42,
,F03,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F04,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F05,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F07,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F08,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
,F09,ROX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,40.6,
